229,Rodelillo,Ad.;1;13;11.5;19.7
230,Rodelillo,Ad.;1;14;11.0;20.0
231,Rodelillo,Ad.;1;15;13.0;19.5
232,Rodelillo,Ad.;1;16;13.2;22.4
233,Rodelillo,Ad.;1;17;14.1;24.7
234,Rodelillo,Ad.;1;18;15.5;28.0
235,Rodelillo,Ad.;1;19;15.0;25.1
236,Rodelillo,Ad.;1;20;14.0;25.8
237,Rodelillo,Ad.;1;21;12.5;26.0
238,Rodelillo,Ad.;1;22;13.7;26.2
239,Rodelillo,Ad.;1;23;14.0;24.6
240,Rodelillo,Ad.;1;24;13.7;25.9
241,Rodelillo,Ad.;1;25;11.0;23.0
242,Rodelillo,Ad.;1;26;12.5;21.2
243,Rodelillo,Ad.;1;27;12.9;23.2
244,Rodelillo,Ad.;1;28;11.8;26.4
245,Rodelillo,Ad.;1;29;13.7;22.6
246,Rodelillo,Ad.;1;30;13.8;23.2
247,Rodelillo,Ad.;1;31;13.4;28.4
248,Eulgio Snchez,Tobalaba Ad.;1;1;13.2;29.0
249,Eulgio Snchez,Tobalaba Ad.;1;2;15.2;28.5
250,Eulgio Snchez,Tobalaba Ad.;1;3;12.6;32.0
251,Eulgio Snchez,Tobalaba Ad.;1;4;14.0;34.0
252,Eulgio Snchez,Tobalaba Ad.;1;5;15.6;30.6
253,Eulgio Snchez,Tobalaba Ad.;1;6;15.2;33.2
254,Eulgio Snchez,Tobalaba Ad.;1;7;10.4;34.4
255,Eulgio Snchez,Tobalaba Ad.;1;8;15.4;30.6
256,Eulgio Snchez,Tobalaba Ad.;1;9;13.8;29.2
257,Eulgio Snchez,Tobalaba Ad.;1;10;13.6;31.2
258,Eulgio Snchez,Tobalaba Ad.;1;11;14.5;34.7
259,Eulgio Snchez,Tobalaba Ad.;1;12;14.2;33.2
260,Eulgio Snchez,Tobalaba Ad.;1;13;14.0;29.0
261,Eulgio Snchez,Tobalaba Ad.;1;14;14.8;31.4
262,Eulgio Snchez,Tobalaba Ad.;1;15;17.2;32.6
263,Eulgio Snchez,Tobalaba Ad.;1;16;17.0;30.3
264,Eulgio Snchez,Tobalaba Ad.;1;17;16.7;30.5
265,Eulgio Snchez,Tobalaba Ad.;1;18;16.0;28.0
266,Eulgio Snchez,Tobalaba Ad.;1;19;15.0;30.4
